Module DetId/U, , , , , , , , ,DTC name/C, , , , 
411350136, , , , , , , , ,11317, , , , 
411350140, , , , , , , , ,11317, , , , 
411350144, , , , , , , , ,11318, , , , 
411350148, , , , , , , , ,11318, , , , 
411350152, , , , , , , , ,11319, , , , 
411350156, , , , , , , , ,11319, , , , 
411350160, , , , , , , , ,11320, , , , 
411350164, , , , , , , , ,11321, , , , 
411350168, , , , , , , , ,11321, , , , 
411350172, , , , , , , , ,11322, , , , 
411350176, , , , , , , , ,11322, , , , 
411350180, , , , , , , , ,11323, , , , 
411350184, , , , , , , , ,11323, , , , 
411350188, , , , , , , , ,11324, , , , 
411350192, , , , , , , , ,11325, , , , 
411350196, , , , , , , , ,11325, , , , 
411350200, , , , , , , , ,11326, , , , 
411350204, , , , , , , , ,11326, , , , 
411350208, , , , , , , , ,11327, , , , 
411350212, , , , , , , , ,11327, , , , 
411350216, , , , , , , , ,11328, , , , 
411350220, , , , , , , , ,11329, , , , 
411350224, , , , , , , , ,11329, , , , 
411350228, , , , , , , , ,11330, , , , 
411350232, , , , , , , , ,11330, , , , 
411350236, , , , , , , , ,11331, , , , 
411350240, , , , , , , , ,11331, , , , 
411354116, , , , , , , , ,11300, , , , 
411354120, , , , , , , , ,11301, , , , 
411354124, , , , , , , , ,11301, , , , 
411354128, , , , , , , , ,11302, , , , 
411354132, , , , , , , , ,11302, , , , 
411354136, , , , , , , , ,11303, , , , 
411354140, , , , , , , , ,11303, , , , 
411354144, , , , , , , , ,11304, , , , 
411354148, , , , , , , , ,11304, , , , 
411354152, , , , , , , , ,11305, , , , 
411354156, , , , , , , , ,11305, , , , 
411354160, , , , , , , , ,11306, , , , 
411354164, , , , , , , , ,11306, , , , 
411354168, , , , , , , , ,11307, , , , 
411354172, , , , , , , , ,11307, , , , 
411354176, , , , , , , , ,11308, , , , 
411354180, , , , , , , , ,11309, , , , 
411354184, , , , , , , , ,11309, , , , 
411354188, , , , , , , , ,11310, , , , 
411354192, , , , , , , , ,11310, , , , 
411354196, , , , , , , , ,11311, , , , 
411354200, , , , , , , , ,11311, , , , 
411354204, , , , , , , , ,11312, , , , 
411354208, , , , , , , , ,11312, , , , 
411354212, , , , , , , , ,11313, , , , 
411354216, , , , , , , , ,11313, , , , 
411354220, , , , , , , , ,11314, , , , 
411354224, , , , , , , , ,11314, , , , 
